aisle,item,amount,unit
dairy,feta cheese,8,oz
dairy,full fat Greek yogurt,16,oz
dairy,milk,1,gal
dairy,mozzarella (shredded),16,oz
dairy,queso fresco,4,oz
meat,bone in skin on chicken thighs,6,ct
meat,boneless skinless chicken thighs,2,lbs
pantry,anchovies,2,tins
pantry,black mustard seeds,1,btl
pantry,bread flour,5,lbs
pantry,capers,16,oz
pantry,chipotles en adobo,4,oz
pantry,Dijon mustard,1,btl
pantry,flour tortillas,12,ct
pantry,garam masala,1,btl
pantry,instant yeast,1,packet
pantry,kalamata olives,16,oz
pantry,olive oil,16,oz
pantry,pepperonis,1,lbs
pantry,pita bread,6,ct
pantry,spaghetti,1,lbs
produce,avocado,3,ct
produce,cauliflower,1,head
produce,cilantro,1,bunch
produce,cucumber,1,ct
produce,garlic,2,head
produce,ginger,1,knob
produce,lemons,2,ct
produce,mint,1,bunch
produce,onions,3,ct
produce,romaine lettuce,1,head
produce,serrano chiles,2,ct
produce,shallots,8,ct
produce,whole peeled tomatoes,4,cans
